1,1,0,0,攻击I,/,0,1|1|1,UI/GemsIcons/20
2,1,0,0,攻击II,/,0,1|2|1,UI/GemsIcons/20
3,1,0,0,攻击III,/,0,1|3|1,UI/GemsIcons/20
4,1,0,0,攻击IIII,/,0,1|4|1,UI/GemsIcons/20
5,1,0,0,攻击IIIII,/,0,1|5|1,UI/GemsIcons/20
6,2,1,1,土弹I,1|1|1,5,1|1|1,UI/GemsIcons/31
7,3,1,2,水弹I,2|1|1,6,1|1|1,UI/GemsIcons/32
8,4,1,3,火球I,3|1|1,7,1|1|1,UI/GemsIcons/33
9,5,1,4,风弹I,4|1|1,8,1|1|1,UI/GemsIcons/34
10,2,2,1,土弹II,/,,1|2|1,UI/GemsIcons/35
11,3,2,2,水弹II,/,,1|2|1,UI/GemsIcons/36
12,4,2,3,火球II,/,,1|2|1,UI/GemsIcons/37
13,5,2,4,风弹II,/,,1|2|1,UI/GemsIcons/38
